Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,CR,Additional,Font,Additional Info,Author
"Elder Elemental, Elder Tempest",Gargantuan,Elemental,N,19,264,fly 120,23,28,23,2,21,18,"WIS, CHA",None,"Nonmagicalres, lightningimmu, poisonimmu, thunderimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, stunnedimmu",Darkvision 60,None,23.00,"Air Form, Flyby, Legendary, Living Storm, Siege Monster",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elder Elemental, Leviathan",Gargantuan,Elemental,N,17,328,"40, swim 120",30,24,30,2,18,17,"WIS, CHA",None,"Nonmagicalres, acidimmu, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, stunnedimmu",Darkvision 60,None,20.00,"Legendary, Partial Freeze, Siege Monster, Water Form",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elder Elemental, Phoenix",Gargantuan,Elemental,N,18,175,"20, fly 120",19,26,25,2,21,18,"WIS, CHA",None,"Nonmagicalres, fireimmu, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, stunnedimmu",Darkvision 60,None,16.00,"Fiery Death and Rebirth, Fire Form, Flyby, Illumination, Legendary, Siege Monster",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elder Elemental, Zaratan",Gargantuan,Elemental,N,21,307,"40, swim 40",30,10,30,2,21,18,"WIS, CHA",None,"Thunderweak, coldres, fireres, lightningres, nonmagicalres, poisonimmu, exhaustionimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, stunnedimmu","Darkvision 60, tremorsense 60",None,22.00,"Earth-Shaking Movement, Legendary, Magic Weapons, Siege Monster",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elemental Myrmidon, Air",Medium,Elemental,N,18,117,"30, fly 30",18,14,14,9,10,10,None,None,"Lightningres, thunderres, nonmagicalres, poisonimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu",Darkvision 60,"Auran, Any",7.00,Magic Weapons,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elemental Myrmidon, Earth",Medium,Elemental,N,18,127,30,18,10,17,8,10,10,None,None,"Nonmagicalres, poisonimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu",Darkvision 60,"Terran, Any",7.00,Magic Weapons,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elemental Myrmidon, Fire",Medium,Elemental,N,18,123,40,13,18,15,9,10,10,None,None,"Nonmagicalres, fireimmu, poisonimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu",Darkvision 60,"Ignan, Any",7.00,"Illumination, Magic Weapons, Water Susceptibility",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elemental Myrmidon, Water",Medium,Elemental,N,18,127,"40, swim 40",18,14,15,8,10,10,None,None,"Acidres, nonmagicalres, poisonimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu",Darkvision 60,"Aquan, Any",7.00,Magic Weapons,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elemental, Air",Large,Elemental,N,15,90,fly 90,14,20,14,6,10,6,None,None,"Lightningres, thunderres, nonmagicalres, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 60,Auran,5.00,Air Form,Monster Manual,,Wizards of the Coast
"Elemental, Earth",Large,Elemental,N,17,126,"30, burrow 30",20,8,20,5,10,5,None,None,"Thunderweak, nonmagicalres, poisonimmu, exhaustionimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, unconsciousimmu","Darkvision 60, tremorsense 60",Terran,5.00,"Earth Glide, Siege Monster",Monster Manual,,Wizards of the Coast
"Elemental, Fire",large,Elemental,N,13,102,50,10,17,16,6,10,7,None,None,"Nonmagicalres, fireimmu, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 60,Ignan,5.00,"Fire Form, Illumination, Water Susceptibility",Monster Manual,,Wizards of the Coast
"Elemental, Water",Large,Elemental,N,14,114,"30, swim 90",18,14,18,5,10,8,None,None,"Acidres, nonmagicalres, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 60,Aquan,5.00,"Water Form, Freeze",Monster Manual,,Wizards of the Coast
Empyrean,Huge,Celestial,CG OR NE,22,313,"50, fly 50, swim 50",30,21,30,21,22,27,"STR, INT, WIS, CHA","Insight, Persuasion",Nonmagicalimmu,Truesight 120,All,23.00,"Innate Spellcasting, Legendary Resistance, Magic Resistance, Magic Weapons",Monster Manual,,Wizards of the Coast
Eternal Flame Guardian,Medium,Humanoid (Human),CE,17,45,30,15,13,14,8,11,13,None,"Intimidation, Perception",Fireres,Normal,Common,2.00,Flaming Weapon,Princes of the Apocalypse,,Wizards of the Coast
Eternal Flame Priest,Medium,Humanoid (Human),NE,12,52,30,12,15,14,10,11,16,None,"Deception, Intimidation, Religion",Fireres,Normal,"Common, Ignan",3.00,Normal Spellcasting,Princes of the Apocalypse,,Wizards of the Coast
"Eternal Flame, Flamewrath",Medium,Humanoid (Human),CE,12,105,30,10,14,16,11,10,16,None,"Arcana, Religion",Fireimmu,Normal,"Common, Ignan",6.00,"Normal Spellcasting, Wreathed in Flame",Princes of the Apocalypse,,Wizards of the Coast
"Eternal Flame, Razerblast",Medium,Humanoid (Human),CE,17,112,30,16,11,16,9,10,13,None,"Intimidation, Perception",Fireimmu,Normal,"Common, Ignan",5.00,"Searing Armor, Shrapnel Explosion",Princes of the Apocalypse,,Wizards of the Coast
Ettercap,Medium,Monstrosity,NE,13,44,"30, climb 30",14,15,13,7,12,8,None,"Perception, Stealth, Survival",None,Darkvision 60,None,2.00,"Spider Climb, Web Sense, Web Walker",Monster Manual,,Wizards of the Coast
Ettin,large,Giant,CE,12,85,40',21,8,17,6,10,8,None,Perception,None,Darkvision 60,"Giant, Orc",4.00,"Two Heads, Wakeful",Monster Manual,,Wizards of the Coast
Faerie Dragon,Tiny,Dragon,CG,15,14,"10, fly 60",3,20,13,14,12,16,None,"Arcana, Perception, Stealth",None,Darkvision 60,"Draconic, Sylvan",1.00,"Superior Invisibility, Limited Telepathy, Magic Resistance, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Firenewt Warlock of Imix,Medium,Humanoid (Firenewt),NE,10,33,30,13,11,12,9,11,14,None,None,Fireimmu,Darkvision 120,"Draconic, Ignan",1.00,"Amphibious, Innate Spellcasting, Normal Spellcasting, Imix's Blessing",Volo's Guide to Monsters,,Wizards of the Coast
Firenewt Warrior,Medium,Humanoid (Firenewt),NE,16,22,30,10,13,12,7,11,8,None,None,Fireimmu,Normal,"Draconic, Ignan",0.50,Amphibious,Volo's Guide to Monsters,,Wizards of the Coast
Flail Snail,Large,Elemental,U,16,52,10,17,5,20,3,10,5,None,None,"Fireimmu, poisonimmu, poisonedimmu","Darkvision 60, tremorsense 60",None,3.00,"Antimagic Shell, Flail Tentacles",Volo's Guide to Monsters,,Wizards of the Coast
Flameskull,Tiny,Undead,NE,13,40,fly 40,1,17,14,16,10,11,None,"Arcana, Perception","Lightningres, necroticres, piercingres, coldimmu, fireimmu, poisonimmu, charmedimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Darkvision 60,Common,4.00,"Illumination, Magic Resistance, Rejuvenation, Normal Spellcasting",Monster Manual,,Wizards of the Coast
Flumph,Small,Aberration,LG,12,7,"5, fly 30",6,15,10,14,14,11,None,"Arcana, History, Religion",Psychicweak,Darkvision 60,"Undercommon, telepathy 60",0.13,"Advanced Telepathy, Prone Deficiency, Telepathic Shroud",Monster Manual,,Wizards of the Coast
Flying Monkey,Small,Beast,U,12,3,"20, climb 20, fly 30",8,14,11,5,12,6,None,None,None,Normal,None,0.00,Pack Tactics,Tomb of Annihilation,,Wizards of the Coast
Fomorian,Huge,Giant,CE,14,149,30,23,10,20,9,14,6,None,"Perception, Stealth",None,Darkvision 120,"Giant, Undercommon",8.00,None,Monster Manual,,Wizards of the Coast
Froghemoth,Huge,Monstrosity,U,14,184,"30, swim 30",23,13,20,2,12,5,"CON, WIS","Perception, Stealth","Fireres, lightningres",Darkvision 60,None,10.00,"Amphibious, Shock SUsceptibility",Volo's Guide to Monsters,,Wizards of the Coast
"Fungus, Gas Spore",Large,Plant,U,5,1,fly 10,5,1,3,1,1,1,None,None,"Poisonimmu, blindedimmu, deafenedimmu, frightenedimmu, paralyzedimmu, poisonedimmu, proneimmu",Blindsight 30,None,0.50,"Death Burst, Eerie Resemblance",Monster Manual,,Wizards of the Coast
"Fungus, Shrieker",Medium,Plant,U,5,13,None,1,1,10,1,10,3,None,None,"Blindedimmu, deafenedimmu, frightenedimmu",Blindsight 30,None,0.00,False Appearance,Monster Manual,,Wizards of the Coast
"Fungus, Violet",Medium,Plant,U,5,18,5,3,1,10,1,3,1,None,None,"Blindedimmu, deafenedimmu, frightenedimmu",Blindsight 30,None,0.25,False Appearance,Monster Manual,,Wizards of the Coast
Galeb Duhr,Medium,Elemental,N,16,85,"15, rolling",20,14,20,11,12,11,None,None,"Nonmagicalres, poisonimmu, exhaustionimmu, paralyzedimmu, poisonedimmu, petrifiedimmu","Darkvision 60, tremorsense 60",Terran,6.00,"False Appearance, Rolling Charge",Monster Manual,,Wizards of the Coast
Gargoyle,Medium,Elemental,CE,15,52,"30, fly 60",15,11,16,6,11,7,None,None,"Nonadamantineres, poisonimmu, exhaustionimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Terran,2.00,False Appearance,Monster Manual,,Wizards of the Coast
"Gargoyle, Giant Four-Armed",Large,Elemental,CE,17,147,"30, fly 60",19,11,20,6,11,9,WIS,Perception,"Nonmagicalres, nonadamantineres, poisonimmu, exhaustionimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Terran,10.00,False Appearance,Tomb of Annihilation,,Wizards of the Coast
"Genie, Dao",Large,Elemental,NE,18,187,"30, burrow 30, fly 30",23,12,24,12,13,14,"INT, WIS, CHA",None,Petrifiedimmu,Darkvision 120,Terran,11.00,"Earth Glide, Elemental Demise, Innate Spellcasting, Sure-Footed",Monster Manual,,Wizards of the Coast
"Genie, Djinni",Large,Elemental,CG,17,161,"30, fly 90",21,15,22,15,16,20,"DEX, WIS, CHA",None,"Lightningimmu, thunderimmu",Darkvision 120,Auran,11.00,"Elemental Demise, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Genie, Efreeti",Large,Elemental,LE,17,200,"40, fly 60",22,12,24,16,15,16,"INT, WIS, CHA",None,Fireimmu,Darkvision 120,Ignan,11.00,"Elemental Demise, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Genie, Marid",Large,Elemental,CN,17,229,"30, fly 60, swim 90",22,12,26,18,17,18,"DEX, WIS, CHA",None,"Acidimmu, coldimmu, lightningimmu","Blindsight 30, darkvision 120",Aquan,11.00,"Amphibious, Elemental Demise, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Geonid,Small,Elemental,N,17,26,30,12,10,16,9,14,11,None,"Perception, Stealth",None,"Darkvision 60, tremorsense 30",Terran,0.25,Boulder Guise,The Tortle Package,,Wizards of the Coast
Ghost,Medium,Undead,ANY,11,45,fly 40,7,13,10,10,12,17,None,None,"Acidres, fireres, lightningres, thunderres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,Any,4.00,"Ethereal Sight, Incorporeal Movement",Monster Manual,,Wizards of the Coast
Ghoul,Medium,Undead,CE,12,22,30,13,15,10,7,10,6,None,None,"Poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Common,1.00,None,Monster Manual,,Wizards of the Coast
"Ghoul, Ghast",Medium,Undead,CE,13,36,30,16,17,10,11,10,8,None,None,"Necroticres, poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Common,2.00,"Stench, Turning Defiance",Monster Manual,,Wizards of the Coast
Giant Crayfish,Large,Beast,U,15,45,"30, swim 30",15,13,13,1,9,3,None,Stealth,None,Blindsight 30,None,2.00,Amphibious,Tales from the Yawning Portal,,Wizards of the Coast
Giant Fly,Large,Beast,U,11,19,"30, fly 60",14,13,13,2,10,3,None,None,None,Darkvision 60,None,0.00,None,Dungeon Master's Guide,,Wizards of the Coast
Giant Ice Toad,Large,Monstrosity,N,14,52,30,16,13,14,8,10,6,None,None,Coldimmu,Darkvision 60,Own,3.00,"Amphibious, Cold Aura, Standing Leap",Tales from the Yawning Portal,,Wizards of the Coast
Giant Lightning Eel,Large,Beast,U,13,42,"5, swim 30",11,17,16,2,12,3,None,None,Lightningres,Blindsight 60,None,3.00,Water Breathing,Tales from the Yawning Portal,,Wizards of the Coast
Giant Snapping Turtle,Large,Beast,U,17,75,"30, swim 40",19,10,14,2,12,5,None,None,None,Darkvision 60,None,3.00,"Amphibious, Stable",Tomb of Annihilation,,Wizards of the Coast
Giant Strider,Large,Monstrosity,NE,14,22,50,18,13,14,4,12,6,None,None,Fireimmu,Normal,None,1.00,Fire Absorption,Volo's Guide to Monsters,,Wizards of the Coast
Giant Subterranean Lizard,Huge,Beast,U,14,66,"30, swim 50",21,9,17,2,10,7,None,Stealth,None,Normal,None,4.00,None,Tales from the Yawning Portal,,Wizards of the Coast
"Giant, Cloud",Huge,Giant,N,14,200,40,27,10,22,12,16,16,"CON, WIS, CHA","Insight, Perception",None,Normal,"Common, Giant",9.00,"Keen Smell, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Giant, Cloud, Smiling One",Huge,"Giant (Giant, Cloud)",CN,15,262,40,26,12,22,15,16,17,"CON, INT, CHA","Deception, Insight, Perception, Sleight of Hand",None,Normal,"Common, Giant",11.00,"INnate Spellcasting, Normal Spellcasting, Keen Smell",Volo's Guide to Monsters,,Wizards of the Coast
"Giant, Fire",Huge,Giant,LE,18,162,30,25,9,23,10,14,13,"DEX, CON, CHA","Athletics, Perception",Fireimmu,Normal,Giant,9.00,None,Monster Manual,,Wizards of the Coast
"Giant, Fire, Dreadnought",Huge,"Giant (Giant, Fire)",LE,21,187,30,27,9,23,8,10,11,"DEX, CON, CHA","Athletics, Perception",Fireimmu,Normal,Giant,14.00,Dual Shields,Volo's Guide to Monsters,,Wizards of the Coast
"Giant, Frost",Huge,Giant,NE,15,138,40,23,9,21,9,10,12,"CON, WIS, CHA","Athletics, Perception",Coldimmu,Normal,Giant,8.00,None,Monster Manual,,Wizards of the Coast
"Giant, Frost, Everlasting One",Huge,"Giant (Giant, Frost)",CE,15,189,40,25,9,24,9,10,12,"STR, CON, WIS","Athletics, Perception",COldimmu,Darkvision 60,Giant,12.00,"Extra Heads, Regeneration, Vaprak's Rage",Volo's Guide to Monsters,,Wizards of the Coast
"Giant, Hill",Huge,Giant,CE,13,105,40,21,8,19,5,9,6,None,Perception,None,Normal,Giant,5.00,None,Monster Manual,,Wizards of the Coast
"Giant, Hill, Mouth of Grolantor",Huge,"Giant (Giant, Hill)",CE,14,105,50,21,10,18,5,7,5,None,Perception,Frightenedimmu,Normal,Giant,6.00,Mouth of Madness,Volo's Guide to Monsters,,Wizards of the Coast
"Giant, Stone",Huge,Giant,N,17,126,40,23,15,20,10,12,9,"DEX, CON, WIS","Athletics, Perception",None,Darkvision 60,Giant,7.00,Stone Camouflage,Monster Manual,,Wizards of the Coast
"Giant, Stone, Dreamwalker",Huge,"Giant (Giant, Stone)",CN,18,161,40,23,14,21,10,8,12,"DEX, CON, WIS","Athletics, Perception","Charmedimmu, frightenedimmu",Darkvision 60,"Common, Giant",10.00,Dreamwalker's Charm,Volo's Guide to Monsters,,Wizards of the Coast
"Giant, Storm",Huge,Giant,CG,16,230,"50, swim 50",29,14,20,16,18,18,"STR, CON, WIS, CHA","Arcana, Athletics, History, Perception","Coldres, lightningimmu, thunderimmu",Normal,"Common, Giant",13.00,"Amphibious, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Giant, Storm, Quintessent",Huge,"Giant (Giant, Storm)",CG,12,230,"50, fly 50, swim 50",29,14,20,17,20,19,"STR, CON, WIS, CHA","Arcana, History, Perception","Coldres, nonmagicalres, lightningimmu, thunderimmu",Truesight 60,"Common, Giant",16.00,"Amphibious, Legendary",Volo's Guide to Monsters,,Wizards of the Coast
Gibbering Mouther,Medium,Aberration,N,9,67,"10, swim 10",10,8,16,3,10,6,None,None,Proneimmu,Darkvision 60,None,2.00,"Aberrant Ground, Gibbering",Monster Manual,,Wizards of the Coast
Giff,Medium,Humanoid,LN,16,60,30,18,14,17,11,12,12,None,None,None,Normal,Common,3.00,"Headfirst Charge, Firearms Knowledge",Mordenkainen's Tome of Foes,,Wizards of the Coast
Girallon,Large,Monstrosity,U,13,59,"40, climb 40",18,16,16,5,12,7,None,"Perception, Stealth",None,Darkvision 60,None,4.00,"Aggressive, Keen Smell",Volo's Guide to Monsters,,Wizards of the Coast
Githyanki Gish,Medium,Humanoid (Gith),LE,17,123,30,17,15,14,16,15,16,"CON, INT, WIS","Insight, Perception, Stealth",None,Normal,Own,10.00,"Innate Spellcasting (Psionics), Normal Spellcasting, War Magic",Mordenkainen's Tome of Foes,,Wizards of the Coast
Githyanki Kith'Rak,Medium,Humanoid (Gith),LE,18,180,30,18,16,17,16,15,17,"CON, INT, WIS","Intimidation, Perception",None,Normal,Own,12.00,"Innate Spellcasting (Psionics), Rally the Troops",Mordenkainen's Tome of Foes,,Wizards of the Coast
Githyanki Knight,Medium,Humanoid,LE,18,91,30,16,14,15,14,14,15,"CON, INT, WIS",None,None,Normal,Own,8.00,Innate Spellcasting,Monster Manual,,Wizards of the Coast
Githyanki Supreme Commander,Medium,Humanoid (Gith),LE,18,187,30,19,17,18,16,16,18,"CON, INT, WIS","Insight, Intimidation, Perception",None,Normal,Own,14.00,"Innate Spellcasting (Psionics), Legendary",Mordenkainen's Tome of Foes,,Wizards of the Coast
Githyanki Warrior,Medium,Humanoid,LE,17,49,30,15,14,12,13,13,10,"CON, INT, WIS",None,None,Normal,Own,3.00,Innate Spellcasting,Monster Manual,,Wizards of the Coast
Githzerai Anarch,Medium,Humanoid (Gith),LN,20,144,30,16,21,18,18,20,14,"STR, DEX, INT, WIS","Arcana, Insight, Perception",None,Normal,Own,16.00,"Innate Spellcasting (Psionics), Psychic Defense, Lair, Legendary",Mordenkainen's Tome of Foes,,Wizards of the Coast
Githzerai Enlightened,Medium,Humanoid (Gith),LN,18,112,30,14,19,16,17,19,13,"STR, DEX, INT, WIS","Arcana, Insight, Perception",None,Normal,Own,10.00,"Innate Spellcasting (Psionics), Psychic Defense",Mordenkainen's Tome of Foes,,Wizards of the Coast
Githzerai Monk,Medium,Humanoid,LN,14,38,30,12,15,12,13,14,10,"STR, DEX, INT, WIS","Insight, Perception",None,Normal,Own,2.00,"Innate Spellcasting (Psionics), Psychic Defense",Monster Manual,,Wizards of the Coast
Githzerai Zerth,Medium,Humanoid,LN,17,84,30,13,18,15,16,17,12,"STR, DEX, INT, WIS","Arcana, Insight, Perception",None,Normal,Own,6.00,"Innate Spellcasting, Psychic Defense",Monster Manual,,Wizards of the Coast
Gnoll,Medium,Humanoid,CE,15,22,30,14,12,11,6,10,7,None,None,None,Darkvision 60,Gnoll,0.50,Rampage,Monster Manual,,Wizards of the Coast
Gnoll Fang of Yeenoghu,Medium,Humanoid,CE,14,65,30,17,15,15,10,11,13,"CON, WIS, CHA",None,None,Darkvision 60,"Abyssal, Gnoll",4.00,Rampage,Monster Manual,,Wizards of the Coast
Gnoll Flesh Gnawer,Medium,Humanoid (Gnoll),CE,14,22,30,12,14,12,8,10,8,DEX,None,None,Darkvision 60,Gnoll,1.00,Rampage,Volo's Guide to Monsters,,Wizards of the Coast
Gnoll Hunter,Medium,Humanoid (Gnoll),CE,13,22,30,14,14,12,8,12,8,None,"Perception, Stealth",None,Darkvision 60,GNoll,0.50,Rampage,Volo's Guide to Monsters,,Wizards of the Coast
Gnoll Pack Lord,Medium,Humanoid,CE,15,49,30,16,14,13,8,11,9,None,None,None,Darkvision 60,Gnoll,2.00,Rampage,Monster Manual,,Wizards of the Coast
Gnoll Witherling,Medium,Undead,CE,12,11,30,14,8,12,5,5,5,None,None,"Poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Gnoll,0.25,Rampage,Volo's Guide to Monsters,,Wizards of the Coast
"Gnoll, Flind",Medium,Humanoid (Gnoll),CE,16,127,30,20,10,19,11,13,12,"CON, WIS","Intimation, Perception",None,Darkvision 60,"Gnoll, Abyssal",9.00,Aura of Blood Thirst,Volo's Guide to Monsters,,Wizards of the Coast
"Gnome, Deep (Svirfneblin)",Small,Humanoid,NG,15,16,20,15,14,14,12,10,9,None,"Investigation, Perception, Stealth",None,Darkvision 120,"Gnomish, Terran, Undercommon",0.50,"Stone Camouflage, Gnome Cunning, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Goblin,small,Humanoid,NE,15,7,30,8,14,10,10,8,8,None,Stealth,None,Darkvision 60,"Common, Goblin",0.25,Nimble Escape,Monster Manual,,Wizards of the Coast
Goblin Boss,small,Humanoid,NE,17,21,30,10,14,10,10,8,10,None,Stealth,None,Darkvision 60,"Common, Goblin",1.00,Nimble Escape,Monster Manual,,Wizards of the Coast
"Golem, Clay",Large,Construct,U,14,133,20,20,9,18,3,8,1,None,None,"Acidimmu, poisonimmu, psychicimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Creator,9.00,"Acid Absorption, Berserk, Immutable Form, Magic Resistance, Magic Weapons",Monster Manual,,Wizards of the Coast
"Golem, Flesh",Medium,Construct,N,9,93,30,19,9,18,6,10,5,None,None,"Lightningimmu, poisonimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Creator,5.00,"Berserk, Aversion of Fire, Immutable Form, Lightning Absorption, Magic Resistance, Magic Weapons",Monster Manual,,Wizards of the Coast
"Golem, Iron",Large,Construct,U,20,210,30,24,9,20,3,11,1,None,None,"Fireimmu, poisonimmu, psychicimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 120,Creator,16.00,"Fire Absorption, Immutable Form, Magic Resistance, Magic Weapons",Monster Manual,,Wizards of the Coast
"Golem, Stone",Large,Construct,U,17,178,30,22,9,20,3,11,1,None,None,"Poisonimmu, pyschicimmu, nonadamantineimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu,  poisonedimmu",Darkvision 120,Creator,10.00,"Immutable Form, Magic Resistance, Magic Weapons",Monster Manual,,Wizards of the Coast
